team,player,matches
Mumbai Indians,DJ Jacobs,7
Mumbai Indians,Mohammad Nabi,7
Mumbai Indians,Mustafizur Rahman,7
Mumbai Indians,N Thushara,7
Mumbai Indians,Arshad Khan,6
Mumbai Indians,CJ Jordan,6
Mumbai Indians,R Shepherd,6
Mumbai Indians,RE Levi,6
Mumbai Indians,UBT Chand,6
Mumbai Indians,Arjun Tendulkar,5
Mumbai Indians,Basil Thampi,5
Mumbai Indians,DJ Thornely,5
Mumbai Indians,JC Archer,5
Mumbai Indians,JD Unadkat,5
Mumbai Indians,L Ronchi,5
Mumbai Indians,P Suyal,5
Mumbai Indians,R Dhawan,5
Mumbai Indians,RJ Peterson,5
Mumbai Indians,RT Ponting,5
Mumbai Indians,Ramandeep Singh,5
Mumbai Indians,TS Mills,5
Mumbai Indians,V Puthur,5
Mumbai Indians,YV Takawale,5
Mumbai Indians,AF Milne,4
Mumbai Indians,T Stubbs,4
Mumbai Indians,Yuvraj Singh,4
Mumbai Indians,A Kamboj,3
Mumbai Indians,AJ Finch,3
Mumbai Indians,AS Joseph,3
Mumbai Indians,Anmolpreet Singh,3
Mumbai Indians,BR Dunk,3
Mumbai Indians,C Bosch,3
Mumbai Indians,C Nanda,3
Mumbai Indians,GJ Maxwell,3
Mumbai Indians,HH Gibbs,3
Mumbai Indians,JDS Neesham,3
Mumbai Indians,MA Khote,3
Mumbai Indians,MJ Guptill,3
Mumbai Indians,P Kumar,3
Mumbai Indians,SD Chitnis,3
Mumbai Indians,Vishnu Vinod,3
Mumbai Indians,BB Sran,2
Mumbai Indians,CJ McKay,2
Mumbai Indians,JM Bairstow,2
Mumbai Indians,K Santokie,2
Mumbai Indians,KT Maphaka,2
Mumbai Indians,L Wood,2
Mumbai Indians,M Jansen,2
Mumbai Indians,M de Lange,2
Mumbai Indians,MK Pandey,2
Mumbai Indians,NLTC Perera,2
Mumbai Indians,PVSN Raju,2
Mumbai Indians,R Minz,2
Mumbai Indians,SZ Mulani,2
Mumbai Indians,VS Yeligati,2
Mumbai Indians,A Dananjaya,1
Mumbai Indians,A Nel,1
Mumbai Indians,AS Roy,1
Mumbai Indians,C Madan,1
Mumbai Indians,CA Lynn,1
Mumbai Indians,D Jansen,1
Mumbai Indians,FA Allen,1
Mumbai Indians,GR Napier,1
Mumbai Indians,JDP Oram,1
Mumbai Indians,Mohammad Ashraful,1
Mumbai Indians,Mujeeb Ur Rahman,1
Mumbai Indians,PJ Sangwan,1
Mumbai Indians,R Goyal,1
Mumbai Indians,R Sanjay Yadav,1
Mumbai Indians,R Shukla,1
Mumbai Indians,RA Bawa,1
Mumbai Indians,RA Shaikh,1
Mumbai Indians,RJ Gleeson,1
Mumbai Indians,RJW Topley,1
Mumbai Indians,RW Price,1
Mumbai Indians,Rasikh Salam,1
Mumbai Indians,SD Lad,1
Mumbai Indians,STR Binny,1
Mumbai Indians,YS Chahal,1
Pune Warriors,RV Uthappa,45
Pune Warriors,R Sharma,36
Pune Warriors,B Kumar,31
Pune Warriors,Yuvraj Singh,27
Pune Warriors,MK Pandey,25
Pune Warriors,JD Ryder,24
Pune Warriors,SPD Smith,21
Pune Warriors,AB Dinda,20
Pune Warriors,AD Mathews,20
Pune Warriors,M Manhas,19
Pune Warriors,SC Ganguly,18
Pune Warriors,WD Parnell,18
Pune Warriors,M Kartik,17
Pune Warriors,AC Thomas,15
Pune Warriors,AJ Finch,14
Pune Warriors,MR Marsh,14
Pune Warriors,A Nehra,13
Pune Warriors,AM Nayar,10
Pune Warriors,MN Samuels,10
Pune Warriors,CJ Ferguson,8
Pune Warriors,LJ Wright,7
Pune Warriors,SB Wagh,7
Pune Warriors,MD Mishra,6
Pune Warriors,MJ Clarke,6
Pune Warriors,JE Taylor,5
Pune Warriors,LRPL Taylor,5
Pune Warriors,TL Suman,5
Pune Warriors,AG Murtaza,4
Pune Warriors,AP Majumdar,4
Pune Warriors,GC Smith,4
Pune Warriors,AA Jhunjhunwala,3
Pune Warriors,BAW Mendis,3
Pune Warriors,Harpreet Singh,3
Pune Warriors,K Upadhyay,3
Pune Warriors,KW Richardson,3
Pune Warriors,IC Pandey,2
Pune Warriors,M Rawat,2
Pune Warriors,NL McCullum,2
Pune Warriors,Parvez Rasool,2
Pune Warriors,RV Gomez,2
Pune Warriors,TD Paine,2
Pune Warriors,JP Faulkner,1
Pune Warriors,Kamran Khan,1
Pune Warriors,S Rana,1
Pune Warriors,SS Mundhe,1
Pune Warriors,UA Birla,1
Punjab Kings,PP Chawla,87
Punjab Kings,Arshdeep Singh,81
Punjab Kings,DA Miller,77
Punjab Kings,GJ Maxwell,72
Punjab Kings,SE Marsh,69
Punjab Kings,AR Patel,68
Punjab Kings,Sandeep Sharma,61
Punjab Kings,MA Agarwal,59
Punjab Kings,Mandeep Singh,58
Punjab Kings,KL Rahul,55
Punjab Kings,P Simran Singh,52
Punjab Kings,Yuvraj Singh,50
Punjab Kings,WP Saha,49
Punjab Kings,Harpreet Brar,46
Punjab Kings,P Kumar,44
Punjab Kings,IK Pathan,42
Punjab Kings,Mohammed Shami,42
Punjab Kings,CH Gayle,41
Punjab Kings,M Vohra,41
Punjab Kings,MM Sharma,37
Punjab Kings,JM Sharma,36
Punjab Kings,RD Chahar,36
Punjab Kings,SM Curran,36
Punjab Kings,DPMD Jayawardene,35
Punjab Kings,AC Gilchrist,34
Punjab Kings,DJ Hussey,34
Punjab Kings,KC Sangakkara,34
Punjab Kings,P Awana,33
Punjab Kings,R Dhawan,32
Punjab Kings,M Shahrukh Khan,31
Punjab Kings,MP Stoinis,31
Punjab Kings,N Pooran,31
Punjab Kings,K Rabada,30
Punjab Kings,LS Livingstone,30
Punjab Kings,S Dhawan,30
Punjab Kings,GJ Bailey,29
Punjab Kings,R Ashwin,28
Punjab Kings,S Sreesanth,28
Punjab Kings,Shashank Singh,28
Punjab Kings,MG Johnson,26
Punjab Kings,M Vijay,25
Punjab Kings,V Sehwag,25
Punjab Kings,Gurkeerat Singh,24
Punjab Kings,Ravi Bishnoi,23
Punjab Kings,Azhar Mahmood,22
Punjab Kings,JM Bairstow,22
Punjab Kings,M Ashwin,22
Punjab Kings,PC Valthaty,21
Punjab Kings,RJ Harris,21
Punjab Kings,RR Powar,21
Punjab Kings,AJ Tye,20
Punjab Kings,Mujeeb Ur Rahman,18
Punjab Kings,Priyansh Arya,18
Punjab Kings,VRV Singh,18
Punjab Kings,Anureet Singh,17
Punjab Kings,DJ Hooda,17
Punjab Kings,K Goel,17
Punjab Kings,SS Iyer,17
Punjab Kings,HM Amla,16
Punjab Kings,KK Nair,16
Punjab Kings,NT Ellis,16
Punjab Kings,BA Bhatt,15
Punjab Kings,N Wadhera,15
Punjab Kings,RS Bopara,15
Punjab Kings,HV Patel,14
Punjab Kings,M Jansen,14
Punjab Kings,SJ Srivastava,14
Punjab Kings,AM Nayar,13
Punjab Kings,B Lee,13
Punjab Kings,Bipul Sharma,13
Punjab Kings,CJ Jordan,13
Punjab Kings,KD Karthik,13
Punjab Kings,PBB Rajapaksa,13
Punjab Kings,YS Chahal,13
Punjab Kings,AS Rajpoot,12
Punjab Kings,LA Pomersbach,12
Punjab Kings,JP Inglis,11
Punjab Kings,JR Hopes,11
Punjab Kings,SM Katich,11
Punjab Kings,YA Abdulla,11
Punjab Kings,Harmeet Singh,10
Punjab Kings,MS Bisla,10
Punjab Kings,N Saini,10
Punjab Kings,S Sohal,10
Punjab Kings,SN Khan,10
Punjab Kings,WA Mota,10
Punjab Kings,AJ Finch,9
Punjab Kings,Ashutosh Sharma,9
Punjab Kings,Atharva Taide,9
Punjab Kings,KC Cariappa,9
Punjab Kings,Karanveer Singh,9
Punjab Kings,L Balaji,9
Punjab Kings,Sikandar Raza,9
Punjab Kings,VS Malik,9
Punjab Kings,Azmatullah Omarzai,8
Punjab Kings,MS Gony,8
Punjab Kings,R Sathish,8
Punjab Kings,RR Rossouw,8
Punjab Kings,BE Hendricks,7
Punjab Kings,J Theron,7
Punjab Kings,MJ Guptill,7
Punjab Kings,AK Markram,6
Punjab Kings,BB Sran,6
Punjab Kings,CA Pujara,6
Punjab Kings,GC Viljoen,6
Punjab Kings,I Sharma,6
Punjab Kings,MW Short,6
Punjab Kings,OF Smith,6
Punjab Kings,R McLaren,6
Punjab Kings,SS Cottrell,6
Punjab Kings,T Natarajan,6
Punjab Kings,VR Aaron,6
Punjab Kings,AD Mascarenhas,5
Punjab Kings,Harpreet Singh,5
Punjab Kings,JDS Neesham,5
Punjab Kings,KJ Abbott,5
Punjab Kings,MC Henriques,5
Punjab Kings,P Sahu,5
Punjab Kings,RP Meredith,5
Punjab Kings,SD Chitnis,5
Punjab Kings,Shivam Sharma,5
Punjab Kings,Sunny Singh,5
Punjab Kings,Swapnil Singh,5
Punjab Kings,VG Arora,5
Punjab Kings,Vijaykumar Vyshak,5
Punjab Kings,EJG Morgan,4
Punjab Kings,FA Allen,4
Punjab Kings,Gagandeep Singh,4
Punjab Kings,KA Jamieson,4
Punjab Kings,LH Ferguson,4
Punjab Kings,MK Tiwary,4
Punjab Kings,RR Sarwan,4
Punjab Kings,XC Bartlett,4
Punjab Kings,AB Barath,3
Punjab Kings,F Behardien,3
Punjab Kings,JA Richardson,3
Punjab Kings,L Ablish,3
Punjab Kings,M Kaif,3
Punjab Kings,P Dogra,3
Punjab Kings,R Tewatia,3
Punjab Kings,Suryansh Shedge,3
Punjab Kings,TM Srivastava,3
Punjab Kings,JP Faulkner,2
Punjab Kings,K Gowtham,2
Punjab Kings,M Kartik,2
Punjab Kings,MJ Henry,2
Punjab Kings,NLTC Perera,2
Punjab Kings,NS Naik,2
Punjab Kings,RA Bawa,2
Punjab Kings,T Kohli,2
Punjab Kings,Yash Thakur,2
Punjab Kings,AD Nath,1
Punjab Kings,AU Rashid,1
Punjab Kings,CV Varun,1
Punjab Kings,DJ Malan,1
Punjab Kings,Gurnoor Brar,1
Punjab Kings,IC Porel,1
Punjab Kings,Jalaj S Saxena,1
Punjab Kings,MG Neser,1
Punjab Kings,MJ Owen,1
Punjab Kings,Mohit Rathee,1
Punjab Kings,Musheer Khan,1
Punjab Kings,NJ Rimmington,1
Punjab Kings,P Dubey,1
Punjab Kings,PN Mankad,1
Punjab Kings,RR Bose,1
Punjab Kings,RS Sodhi,1
Punjab Kings,SN Thakur,1
Punjab Kings,Shivam Singh,1
Punjab Kings,U Kaul,1
Punjab Kings,V Kaverappa,1
Rajasthan Royals,SV Samson,144
Rajasthan Royals,AM Rahane,93
Rajasthan Royals,JC Buttler,82
Rajasthan Royals,SR Watson,78
Rajasthan Royals,SK Trivedi,76
Rajasthan Royals,R Parag,75
Rajasthan Royals,STR Binny,66
Rajasthan Royals,YBK Jaiswal,66
Rajasthan Royals,SK Warne,55
Rajasthan Royals,SO Hetmyer,50
Rajasthan Royals,JC Archer,47
Rajasthan Royals,YS Chahal,46
Rajasthan Royals,R Dravid,45
Rajasthan Royals,R Ashwin,44
Rajasthan Royals,SPD Smith,43
Rajasthan Royals,YK Pathan,43
Rajasthan Royals,JP Faulkner,42
Rajasthan Royals,S Gopal,41
Rajasthan Royals,TA Boult,41
Rajasthan Royals,JD Unadkat,39
Rajasthan Royals,DS Kulkarni,37
Rajasthan Royals,Dhruv Jurel,35
Rajasthan Royals,R Tewatia,32
Rajasthan Royals,Sandeep Sharma,32
Rajasthan Royals,BA Stokes,31
Rajasthan Royals,BJ Hodge,30
Rajasthan Royals,MM Patel,30
Rajasthan Royals,D Padikkal,28
Rajasthan Royals,PV Tambe,26
Rajasthan Royals,AL Menaria,25
Rajasthan Royals,GC Smith,25
Rajasthan Royals,KK Cooper,25
Rajasthan Royals,KK Nair,25
Rajasthan Royals,J Botha,24
Rajasthan Royals,A Singh,23
Rajasthan Royals,RA Jadeja,23
Rajasthan Royals,CH Morris,22
Rajasthan Royals,K Gowtham,22
Rajasthan Royals,NV Ojha,22
Rajasthan Royals,SW Tait,21
Rajasthan Royals,SA Asnodkar,20
Rajasthan Royals,RA Tripathi,19
Rajasthan Royals,AS Raut,17
Rajasthan Royals,DH Yagnik,17
Rajasthan Royals,M Prasidh Krishna,17
Rajasthan Royals,Avesh Khan,15
Rajasthan Royals,OA Shah,15
Rajasthan Royals,C Sakariya,14
Rajasthan Royals,Kartik Tyagi,14
Rajasthan Royals,M Kaif,14
Rajasthan Royals,Mustafizur Rahman,14
Rajasthan Royals,R Bhatia,14
Rajasthan Royals,AA Chavan,13
Rajasthan Royals,A Chandila,12
Rajasthan Royals,AA Jhunjhunwala,12
Rajasthan Royals,FY Fazal,12
Rajasthan Royals,KR Sen,12
Rajasthan Royals,Pankaj Singh,12
Rajasthan Royals,RV Uthappa,12
Rajasthan Royals,DJ Hooda,11
Rajasthan Royals,LRPL Taylor,11
Rajasthan Royals,M Theekshana,11
Rajasthan Royals,MJ Lumb,11
Rajasthan Royals,N Rana,11
Rajasthan Royals,PWH de Silva,11
Rajasthan Royals,SB Dubey,11
Rajasthan Royals,Sohail Tanvir,11
Rajasthan Royals,GB Hogg,10
Rajasthan Royals,M Rawat,10
Rajasthan Royals,MK Lomror,10
Rajasthan Royals,TG Southee,10
Rajasthan Royals,TU Deshpande,10
Rajasthan Royals,DA Miller,9
Rajasthan Royals,LS Livingstone,9
Rajasthan Royals,S Dube,9
Rajasthan Royals,AC Voges,8
Rajasthan Royals,AD Mascarenhas,8
Rajasthan Royals,IS Sodhi,8
Rajasthan Royals,JO Holder,8
Rajasthan Royals,Kamran Khan,8
Rajasthan Royals,OC McCoy,8
Rajasthan Royals,P Dogra,8
Rajasthan Royals,VR Aaron,8
Rajasthan Royals,Ankit Sharma,7
Rajasthan Royals,B Laughlin,7
Rajasthan Royals,DJM Short,7
Rajasthan Royals,KW Richardson,7
Rajasthan Royals,R Powell,7
Rajasthan Royals,RJ Quiney,7
Rajasthan Royals,S Sreesanth,7
Rajasthan Royals,V Suryavanshi,7
Rajasthan Royals,A Zampa,6
Rajasthan Royals,AS Rajpoot,6
Rajasthan Royals,Kamran Akmal,6
Rajasthan Royals,Niraj Patel,6
Rajasthan Royals,SP Goswami,6
Rajasthan Royals,AG Paunikar,5
Rajasthan Royals,D Salunkhe,5
Rajasthan Royals,E Lewis,5
Rajasthan Royals,Fazalhaq Farooqi,5
Rajasthan Royals,LA Carseldine,5
Rajasthan Royals,N Burger,5
Rajasthan Royals,S Narwal,5
Rajasthan Royals,TK Curran,5
Rajasthan Royals,AJ Turner,4
Rajasthan Royals,AM Nayar,4
Rajasthan Royals,Akash Madhwal,4
Rajasthan Royals,H Klaasen,4
Rajasthan Royals,K Kartikeya,4
Rajasthan Royals,KM Asif,4
Rajasthan Royals,M Morkel,4
Rajasthan Royals,M Vohra,4
Rajasthan Royals,O Thomas,4
Rajasthan Royals,VS Malik,4
Rajasthan Royals,Yudhvir Singh,4
Rajasthan Royals,AP Dole,3
Rajasthan Royals,Anureet Singh,3
Rajasthan Royals,GD Phillips,3
Rajasthan Royals,HE van der Dussen,3
Rajasthan Royals,K Yadav,3
Rajasthan Royals,ND Doshi,3
Rajasthan Royals,Navdeep Saini,3
Rajasthan Royals,R Shukla,3
Rajasthan Royals,SM Harwood,3
Rajasthan Royals,T Kohler-Cadmore,3
Rajasthan Royals,A Uniyal,2
Rajasthan Royals,D Ferreira,2
Rajasthan Royals,DJ Mitchell,2
Rajasthan Royals,DS Lehmann,2
Rajasthan Royals,JDP Oram,2
Rajasthan Royals,JDS Neesham,2
Rajasthan Royals,JE Root,2
Rajasthan Royals,KA Maharaj,2
Rajasthan Royals,KT Maphaka,2
Rajasthan Royals,M Ashwin,2
Rajasthan Royals,MDKJ Perera,2
Rajasthan Royals,PC Valthaty,2
Rajasthan Royals,T Henderson,2
Rajasthan Royals,T Kohli,2
Rajasthan Royals,AJ Finch,1
Rajasthan Royals,AJ Tye,1
Rajasthan Royals,Abdul Basith,1
Rajasthan Royals,Akash Singh,1
Rajasthan Royals,Anuj Rawat,1
Rajasthan Royals,BB Sran,1
Rajasthan Royals,BCJ Cutting,1
Rajasthan Royals,DR Martyn,1
Rajasthan Royals,Harmeet Singh (2),1
Rajasthan Royals,Iqbal Abdulla,1
Rajasthan Royals,J Theron,1
Rajasthan Royals,KS Rathore,1
Rajasthan Royals,M Markande,1
Rajasthan Royals,NA Saini,1
Rajasthan Royals,NM Coulter-Nile,1
Rajasthan Royals,P Chopra,1
Rajasthan Royals,PR Shah,1
Rajasthan Royals,S Badree,1
Rajasthan Royals,S Midhun,1
Rajasthan Royals,SB Wagh,1
Rajasthan Royals,SD Chitnis,1
Rajasthan Royals,Sachin Baby,1
Rajasthan Royals,T Shamsi,1
Rajasthan Royals,Tanush Kotian,1
Rajasthan Royals,UBT Chand,1
Rajasthan Royals,Younis Khan,1
Rising Pune Supergiants,AM Rahane,30
Rising Pune Supergiants,MS Dhoni,27
Rising Pune Supergiants,SPD Smith,22
Rising Pune Supergiants,R Ashwin,14
Rising Pune Supergiants,RA Tripathi,14
Rising Pune Supergiants,DT Christian,13
Rising Pune Supergiants,MK Tiwary,13
Rising Pune Supergiants,R Bhatia,13
Rising Pune Supergiants,AB Dinda,12
Rising Pune Supergiants,BA Stokes,12
Rising Pune Supergiants,Imran Tahir,12
Rising Pune Supergiants,JD Unadkat,12
Rising Pune Supergiants,NLTC Perera,12
Rising Pune Supergiants,SN Thakur,12
Rising Pune Supergiants,A Zampa,11
Rising Pune Supergiants,M Ashwin,10
Rising Pune Supergiants,Washington Sundar,10
Rising Pune Supergiants,F du Plessis,7
Rising Pune Supergiants,SS Tiwary,7
Rising Pune Supergiants,UT Khawaja,6
Rising Pune Supergiants,DL Chahar,5
Rising Pune Supergiants,GJ Bailey,5
Rising Pune Supergiants,Ankit Sharma,4
Rising Pune Supergiants,I Sharma,4
Rising Pune Supergiants,IK Pathan,4
Rising Pune Supergiants,KP Pietersen,4
Rising Pune Supergiants,LH Ferguson,4
Rising Pune Supergiants,RP Singh,4
Rising Pune Supergiants,MA Agarwal,3
Rising Pune Supergiants,MR Marsh,3
Rising Pune Supergiants,JA Morkel,2
Rising Pune Supergiants,RD Chahar,2
Rising Pune Supergiants,SM Boland,2
Rising Pune Supergiants,PSP Handscomb,1
Royal Challengers Bengaluru,V Kohli,260
Royal Challengers Bengaluru,AB de Villiers,144
Royal Challengers Bengaluru,YS Chahal,112
Royal Challengers Bengaluru,Mohammed Siraj,87
Royal Challengers Bengaluru,CH Gayle,84
Royal Challengers Bengaluru,HV Patel,78
Royal Challengers Bengaluru,R Vinay Kumar,63
Royal Challengers Bengaluru,KD Karthik,53
Royal Challengers Bengaluru,GJ Maxwell,51
Royal Challengers Bengaluru,F du Plessis,45
Royal Challengers Bengaluru,Z Khan,43
Royal Challengers Bengaluru,A Kumble,42
Royal Challengers Bengaluru,JH Kallis,42
Royal Challengers Bengaluru,D Padikkal,39
Royal Challengers Bengaluru,P Kumar,38
Royal Challengers Bengaluru,RM Patidar,38
Royal Challengers Bengaluru,S Aravind,38
Royal Challengers Bengaluru,R Dravid,37
Royal Challengers Bengaluru,Shahbaz Ahmed,34
Royal Challengers Bengaluru,DW Steyn,33
Royal Challengers Bengaluru,Mandeep Singh,32
Royal Challengers Bengaluru,PA Patel,32
Royal Challengers Bengaluru,Washington Sundar,31
Royal Challengers Bengaluru,SS Tiwary,30
Royal Challengers Bengaluru,Yash Dayal,29
Royal Challengers Bengaluru,MA Agarwal,28
Royal Challengers Bengaluru,JR Hazlewood,27
Royal Challengers Bengaluru,MK Lomror,27
Royal Challengers Bengaluru,NA Saini,27
Royal Challengers Bengaluru,RV Uthappa,27
Royal Challengers Bengaluru,UT Yadav,27
Royal Challengers Bengaluru,MA Starc,26
Royal Challengers Bengaluru,PWH de Silva,26
Royal Challengers Bengaluru,SR Watson,24
Royal Challengers Bengaluru,TM Dilshan,24
Royal Challengers Bengaluru,VR Aaron,23
Royal Challengers Bengaluru,DL Vettori,22
Royal Challengers Bengaluru,LRPL Taylor,22
Royal Challengers Bengaluru,M Muralitharan,21
Royal Challengers Bengaluru,MV Boucher,21
Royal Challengers Bengaluru,Anuj Rawat,20
Royal Challengers Bengaluru,MM Ali,19
Royal Challengers Bengaluru,P Negi,19
Royal Challengers Bengaluru,STR Binny,19
Royal Challengers Bengaluru,SN Khan,18
Royal Challengers Bengaluru,KM Jadhav,17
Royal Challengers Bengaluru,KV Sharma,17
Royal Challengers Bengaluru,MK Pandey,17
Royal Challengers Bengaluru,A Mithun,16
Royal Challengers Bengaluru,D Wiese,15
Royal Challengers Bengaluru,Iqbal Abdulla,15
Royal Challengers Bengaluru,KH Pandya,15
Royal Challengers Bengaluru,B Akhil,14
Royal Challengers Bengaluru,B Kumar,14
Royal Challengers Bengaluru,KL Rahul,14
Royal Challengers Bengaluru,S Dube,14
Royal Challengers Bengaluru,Suyash Sharma,14
Royal Challengers Bengaluru,Yuvraj Singh,14
Royal Challengers Bengaluru,C Green,13
Royal Challengers Bengaluru,C de Grandhomme,13
Royal Challengers Bengaluru,CL White,13
Royal Challengers Bengaluru,JD Unadkat,13
Royal Challengers Bengaluru,KP Appanna,13
Royal Challengers Bengaluru,KP Pietersen,13
Royal Challengers Bengaluru,PD Salt,13
Royal Challengers Bengaluru,AJ Finch,12
Royal Challengers Bengaluru,R Rampaul,12
Royal Challengers Bengaluru,Sachin Baby,12
Royal Challengers Bengaluru,AB Dinda,11
Royal Challengers Bengaluru,DT Christian,11
Royal Challengers Bengaluru,J Syed Mohammad,11
Royal Challengers Bengaluru,JM Sharma,11
Royal Challengers Bengaluru,M Kartik,11
Royal Challengers Bengaluru,RE van der Merwe,11
Royal Challengers Bengaluru,RP Singh,11
Royal Challengers Bengaluru,TG Southee,11
Royal Challengers Bengaluru,Vijaykumar Vyshak,11
Royal Challengers Bengaluru,CA Pujara,10
Royal Challengers Bengaluru,I Udana,10
Royal Challengers Bengaluru,MC Henriques,10
Royal Challengers Bengaluru,MP Stoinis,10
Royal Challengers Bengaluru,SS Prabhudessai,10
Royal Challengers Bengaluru,TH David,10
Royal Challengers Bengaluru,TM Head,10
Royal Challengers Bengaluru,CH Morris,9
Royal Challengers Bengaluru,CJ Jordan,9
Royal Challengers Bengaluru,KA Jamieson,9
Royal Challengers Bengaluru,LS Livingstone,9
Royal Challengers Bengaluru,Akash Deep,8
Royal Challengers Bengaluru,DJ Willey,8
Royal Challengers Bengaluru,Gurkeerat Singh,8
Royal Challengers Bengaluru,Misbah-ul-Haq,8
Royal Challengers Bengaluru,Q de Kock,8
Royal Challengers Bengaluru,W Jaffer,8
Royal Challengers Bengaluru,WG Jacks,8
Royal Challengers Bengaluru,AN Ahmed,7
Royal Challengers Bengaluru,AUK Pathan,7
Royal Challengers Bengaluru,JA Morkel,7
Royal Challengers Bengaluru,KB Arun Karthik,7
Royal Challengers Bengaluru,KS Bharat,7
Royal Challengers Bengaluru,LH Ferguson,7
Royal Challengers Bengaluru,R Shepherd,7
Royal Challengers Bengaluru,S Badree,7
Royal Challengers Bengaluru,S Rana,7
Royal Challengers Bengaluru,Swapnil Singh,7
Royal Challengers Bengaluru,WD Parnell,7
Royal Challengers Bengaluru,BB McCullum,6
Royal Challengers Bengaluru,SP Goswami,6
Royal Challengers Bengaluru,A Choudhary,5
Royal Challengers Bengaluru,AD Nath,5
Royal Challengers Bengaluru,AF Milne,5
Royal Challengers Bengaluru,CR Woakes,5
Royal Challengers Bengaluru,GHS Garton,5
Royal Challengers Bengaluru,JD Ryder,5
Royal Challengers Bengaluru,JR Philippe,5
Royal Challengers Bengaluru,K Khejroliya,5
Royal Challengers Bengaluru,KW Richardson,5
Royal Challengers Bengaluru,M Kaif,5
Royal Challengers Bengaluru,MG Bracewell,5
Royal Challengers Bengaluru,Mayank Dagar,5
Royal Challengers Bengaluru,Pankaj Singh,5
Royal Challengers Bengaluru,RJW Topley,5
Royal Challengers Bengaluru,RR Rossouw,5
Royal Challengers Bengaluru,SO Hetmyer,5
Royal Challengers Bengaluru,TS Mills,5
Royal Challengers Bengaluru,YV Takawale,5
Royal Challengers Bengaluru,AB McDonald,4
Royal Challengers Bengaluru,EJG Morgan,4
Royal Challengers Bengaluru,LA Pomersbach,4
Royal Challengers Bengaluru,M Vohra,4
Royal Challengers Bengaluru,Parvez Rasool,4
Royal Challengers Bengaluru,SB Joshi,4
Royal Challengers Bengaluru,T Shamsi,4
Royal Challengers Bengaluru,A Zampa,3
Royal Challengers Bengaluru,AS Joseph,3
Royal Challengers Bengaluru,B Chipli,3
Royal Challengers Bengaluru,CJ Anderson,3
Royal Challengers Bengaluru,CK Langeveldt,3
Royal Challengers Bengaluru,J Arunkumar,3
Royal Challengers Bengaluru,JJ van der Wath,3
Royal Challengers Bengaluru,NJ Maddinson,3
Royal Challengers Bengaluru,P Parameswaran,3
Royal Challengers Bengaluru,R Bishnoi,3
Royal Challengers Bengaluru,S Chanderpaul,3
Royal Challengers Bengaluru,Saurav Chauhan,3
Royal Challengers Bengaluru,Vishnu Vinod,3
Royal Challengers Bengaluru,B Stanlake,2
Royal Challengers Bengaluru,D du Preez,2
Royal Challengers Bengaluru,DJG Sammy,2
Royal Challengers Bengaluru,DP Nannes,2
Royal Challengers Bengaluru,DR Sams,2
Royal Challengers Bengaluru,DT Patil,2
Royal Challengers Bengaluru,H Klaasen,2
Royal Challengers Bengaluru,H Sharma,2
Royal Challengers Bengaluru,JG Bethell,2
Royal Challengers Bengaluru,KK Nair,2
Royal Challengers Bengaluru,L Ngidi,2
Royal Challengers Bengaluru,M Ashwin,2
Royal Challengers Bengaluru,MS Bisla,2
Royal Challengers Bengaluru,R Ninan,2
Royal Challengers Bengaluru,Rasikh Salam,2
Royal Challengers Bengaluru,SA Abbott,2
Royal Challengers Bengaluru,SE Rutherford,2
Royal Challengers Bengaluru,VH Zol,2
Royal Challengers Bengaluru,A Mukund,1
Royal Challengers Bengaluru,AA Kazi,1
Royal Challengers Bengaluru,AA Noffke,1
Royal Challengers Bengaluru,Abdur Razzak,1
Royal Challengers Bengaluru,Avesh Khan,1
Royal Challengers Bengaluru,MS Bhandage,1
Royal Challengers Bengaluru,N Thushara,1
Royal Challengers Bengaluru,ND Doshi,1
Royal Challengers Bengaluru,Navdeep Saini,1
Royal Challengers Bengaluru,P Ray Barman,1
Royal Challengers Bengaluru,RR Bhatkal,1
Royal Challengers Bengaluru,S Kaul,1
Royal Challengers Bengaluru,S Sriram,1
Royal Challengers Bengaluru,SB Jakati,1
Sunrisers Hyderabad,B Kumar,145
Sunrisers Hyderabad,DA Warner,95
Sunrisers Hyderabad,S Dhawan,85
Sunrisers Hyderabad,Rashid Khan,76
Sunrisers Hyderabad,KS Williamson,75
Sunrisers Hyderabad,Abhishek Sharma,74
Sunrisers Hyderabad,T Natarajan,55
Sunrisers Hyderabad,MK Pandey,47
Sunrisers Hyderabad,KV Sharma,46
Sunrisers Hyderabad,S Kaul,43
Sunrisers Hyderabad,Sandeep Sharma,43
Sunrisers Hyderabad,MC Henriques,42
Sunrisers Hyderabad,Abdul Samad,40
Sunrisers Hyderabad,H Klaasen,39
Sunrisers Hyderabad,NV Ojha,39
Sunrisers Hyderabad,DJ Hooda,38
Sunrisers Hyderabad,AK Markram,37
Sunrisers Hyderabad,DW Steyn,37
Sunrisers Hyderabad,RA Tripathi,33
Sunrisers Hyderabad,V Shankar,31
Sunrisers Hyderabad,PJ Cummins,30
Sunrisers Hyderabad,JM Bairstow,28
Sunrisers Hyderabad,WP Saha,28
Sunrisers Hyderabad,A Mishra,27
Sunrisers Hyderabad,TM Head,27
Sunrisers Hyderabad,Umran Malik,26
Sunrisers Hyderabad,Nithish Kumar Reddy,25
Sunrisers Hyderabad,KK Ahmed,24
Sunrisers Hyderabad,I Sharma,23
Sunrisers Hyderabad,GH Vihari,21
